"_id","text","tweet_id","created_at","user_location","user_name","retweets","search_term"
"ObjectId(""5e436c5d452fef139aa2fbbf"")","'Chinese scientists may have identified the mystery #virus causing #pneumonia in China: a new strain of #coronavirus… https://t.co/caE97whIB8'","1214990230203314178","Wed Jan 08 19:20:18 +0000 2020","None","MedPageID","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbc1"")","'The past applied to the future: Broad-spectrum antivirals for emerging coronavirus! I am willing to bet that remdes… https://t.co/4n8phCvXHK'","1214988011118546946","Wed Jan 08 19:11:29 +0000 2020","Chapel Hill, NC","timothysheahan","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbc4"")","'Aparentment un nou #coronavirus. Per tant és inevitable pensar en una exposició a animals VIUS, quasi segur mamifer… https://t.co/86yYKAmGZl'","1214978633586159622","Wed Jan 08 18:34:14 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbc8"")","'Chinese scientists have discovered a new strain of #coronavirus, that has infected many in central china over recen… https://t.co/lZXnqxR5Or'","1214968319507341312","Wed Jan 08 17:53:15 +0000 2020","Oxford, England","nativeantigen","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbcb"")","""Given that both #Wuhan and #HongKong's numbers continue to climb, this requires more watching.\n\nThe US CDC has issu… https://t.co/RDLFLs0fh7""","1214963166406463493","Wed Jan 08 17:32:46 +0000 2020","New England, USA","DrMay5","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbcc"")","""It seems likely that the first patient's disease is not related to the novel #Wuhan #pneumonia #coronavirus, but th… https://t.co/Cq1rkMheOV""","1214962681226104833","Wed Jan 08 17:30:50 +0000 2020","New England, USA","DrMay5","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbcd"")","'Authorities in #HongKong are now reporting 9 patients under evaluation for disease with the novel #coronavirus caus… https://t.co/5l0OZ7BkYN'","1214962388388208640","Wed Jan 08 17:29:40 +0000 2020","New England, USA","DrMay5","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbce"")","'The Chinese government is maintaining that there is no evidence of person-to-person transmission - I am still cauti… https://t.co/vnC83v7Dd4'","1214961988645904384","Wed Jan 08 17:28:05 +0000 2020","New England, USA","DrMay5","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbd0"")","'The cluster of unidentified #pneumonia cases in #Wuhan #China have been associated with a novel #Coronavirus. This… https://t.co/uxCXOcrqSE'","1214961475116322817","Wed Jan 08 17:26:03 +0000 2020","New England, USA","DrMay5","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbd1"")","'This is the most detailed information so far on the detection of a novel #coronavirus in several patients with… https://t.co/92EbUUGQCi'","1214959361124122626","Wed Jan 08 17:17:39 +0000 2020","Rotterdam, The Netherlands","thijskuiken","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbd4"")","'🚨A new strain of Coronavirus may be responsible for the mysterious outbreak that has affected almost 60 in #Wuhan,… https://t.co/8HflLNF0gk'","1214957239481618435","Wed Jan 08 17:09:13 +0000 2020","Malta","RaquelMedialdea","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbd6"")","'Basically all words are speculative yet all people are pointing towards #wuhanpneumonia with novel #coronavirus as… https://t.co/ej7SxowyCE'","1214954872694423552","Wed Jan 08 16:59:49 +0000 2020","Hong Kong","hayesluk","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbd8"")","'Scientists in #China discovered a novel #coronavirus in several #pneumonia patients in the #Wuhan outbreak via gene… https://t.co/GRLR6cOp2i'","1214953482714697728","Wed Jan 08 16:54:17 +0000 2020","Baltimore, MD","Outbreaks101","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbd9"")","'New Virus Discovered by Chinese Scientists Investigating Pneumonia Outbreak - WSJ\n#Coronavirus https://t.co/OzyTRGZK2b'","1214952759490994177","Wed Jan 08 16:51:25 +0000 2020","Mexico, City","Klintsy","","#coronavirus"
"ObjectId(""5e436c5d452fef139aa2fbda"")","'Nouveau #coronavirus découvert en Chine #pneumonia #Wuhan https://t.co/p69HgOqGlP'","1214950078772846599","Wed Jan 08 16:40:46 +0000 2020","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fbfe"")","'.@CIDRAP @schnirring : More details emerge on new #coronavirus in #Wuhan cluster   #China #pneumonia… https://t.co/Xg2ldW6jRA'","1215405953970892801","Thu Jan 09 22:52:15 +0000 2020","Washington, D.C., U.S.A.","greg_folkers","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc0d"")","'A threat assessment about the epidemic of pneumonia possibly associated with a novel #Coronavirus in #Wuhan, China… https://t.co/HrveeMVNbZ'","1215401371463229440","Thu Jan 09 22:34:02 +0000 2020","Malta","RaquelMedialdea","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc13"")","'More details emerge on new #coronavirus in #Wuhan cluster https://t.co/fpcXzxPGgx #pneumonia #MERS #SARS https://t.co/nEs049K4lt'","1215399895697448961","Thu Jan 09 22:28:10 +0000 2020","Minneapolis, MN","CIDRAP","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc17"")","'A novel #coronavirus discovered in the Chinese City of #Wuhan. Fascinating!\n\n#WuhanPneumonia https://t.co/1ZFNHqHy9g'","1215398845070241792","Thu Jan 09 22:24:00 +0000 2020","Rochester, Minnesota","DrBoire","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc1a"")","'New strain of #Coronavirus at the #WuhanPneumonia Market 😷 @aHEMandias @turnbolt11 \nhttps://t.co/d7pk1W4HTV'","1215398631785877504","Thu Jan 09 22:23:09 +0000 2020","AllTheSpentFuelPoolsAreCracked","RadChick4Cast","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc1d"")","'🇨🇳 Preliminary Tests Reveal Illness May Be Caused By ""New Coronavirus"". https://t.co/s9gB578hYL #China #Wuhan… https://t.co/rMNq9pDpJd'","1215398569554804736","Thu Jan 09 22:22:54 +0000 2020","Tokyo, Japan","tokyopotato120","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc2c"")","'@statnews @WHO @CDCgov @ECDC_EU published threat assessment for the #Wuhan #outbreak. Many unknowns remain. Paris,… https://t.co/Gs0SDqpjD3'","1215394265523724288","Thu Jan 09 22:05:48 +0000 2020","Baltimore, MD","Outbreaks101","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc2e"")","'.@SCMPNews   SCMP: #Wuhan #coronavirus #pneumonia: Asia battens down for Lunar New Year rush https://t.co/8iiyq2myhF https://t.co/atsgsqUoqP'","1215394110443380736","Thu Jan 09 22:05:11 +0000 2020","Washington, D.C., U.S.A.","greg_folkers","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc34"")","'Discussing the new coronavirus outbreak in Wuhan during journal club in a department full of virologists studying e… https://t.co/g9KQofuHK8'","1215392013677404160","Thu Jan 09 21:56:51 +0000 2020","Manhattan, NYC","ViralCarmichael","","#coronavirus"
"ObjectId(""5e436c82452fef139aa2fc37"")","'Officials may have found the cause of the mysterious outbreak of #pneumonia that has sickened dozens of people in C… https://t.co/uUeaTZqmHg'","1215391491767427072","Thu Jan 09 21:54:47 +0000 2020","Chang Gung University, Taiwan","BiomedJ","","#coronavirus"
